অভিধান	ôbhidhan
ডিকশনারী	ḍikshônari
ডিকশনারি	ḍikshônari
বিশ্বকোষ	bishbakosh
বেড়াল	beṛāl
বিলাড়	bilāṛ
শব্দ	shôbdô
বই	bôi
গ্রন্থ	grônthô
পুস্তক	pustôk
হাতি	hati
বাদামি	badami
ডিসেম্বর	Ḑisembôr
জানুয়ারি	jānuẏāri
এপ্রিল	ēpril
সেপ্টেম্বর	Sepţembôr
অক্টোবর	Ôkţobôr
দিন	din
সোমবার	shombar
মঙ্গলবার	monggolbar
বুধবার	budhbar
বৃহস্পতিবার	brihôshpôtibar
শুক্রবার	shukrôbar
শনিবার	shônibar
রবিবার	rôbibar
প্রতিশব্দ	prôtishôbdô
বিশেষ্য	bisheshya
ঘন্টা	ghônţa
মিনিট	miniṭ
বাণিজ্য	baniyô
ক্রিয়া	kriya
বিশেষণ	bisheshawn
ঈগল	igôl
ইগল	igôl
মাথা	matha
কুমড়া	kumôŗa
নাম	nam
ওযু	oyu
শীতকাল	shitôkal
শীত	shit
হাড়	haŗ
হাড়	haŗ
যন্ত্রমানব	Yantramānaba
ইংরেজি	ingreji
ইংরেজি	inrējī
ইংরেজি	inreji
ইংরেজি ভাষা	inreji bhasha
ইংরেজি ভাষা	inrēji bhāṣā
আজ	aj
-টা	-ţa
-টি	-ţi
-গুলা	-gula
-গুলো	-gulo
-রা	-ra
-এরা	-era
ঋতু	ritu
শরৎ	shôrôt
হেমন্ত	hemôntô
গ্রীষ্ম	grisshô
বসন্ত	bôshônto
রং	rông
ভিতর	bhitara
গুগল করছি	gūgal korchi
কমলা	kômla
কমলা	kômla
সাত	sat
নেকড়ে	nekŗe
গ্রহ	grôh
গ্রহ	grôh
তারকা	tarka
তারা	tara
আকাশ	akash
শূন্য	śūnya
সংখ্যা	sônkhya
নম্বর	nômbôr
নম্বর	nômbôr
বর্ণমালা	barṇamālā
অম্ল	ôml
জার্মান ভাষা	jārmān bhāṣā
মেক্সিকো	meksiko
ঘাস	ghas
এক	ek
দুই	dui
তিন	tin
চার	car
পাঁচ	pãc
কেজিবি	kejibi
অক্ষর	ôkshôr
চিঠি	ciţhi
দ্বিতীয়	dbitīyô
সেকেন্ড	sekenḑ
শতাব্দী	shôtabdi
ঘড়ি	ghôŗi
জাপান	japan
কম	kôm
আমি তোমাকে ভালবাসি	ami tomake bhalôbashi
আই তরে ভালাবাষি	Aai tore balabashi
বিয়ার	biẏar
ছাতা	chata
বিন্দু	bindu
সূর্য	surjô
সূর্য	surjô
মানুষ	manush
মানব	manôb
আদমি	ādami
হওয়া	hôoẇa
